1	开幕典礼
isbn	isbn
concur/dissent	协同／不同意见
notableworks	代表作
country admin divisions title	{{{country admin divisions title}}}
free_label_1	free_label_1
free_label_2	free_label_2
also known as	别名
var5	var5
var6	var6
var3	var3
var4	var4
var1	var1
var2	var2
built for	建造用于
silica (sio<sub>2</sub>)	二氧化硅（sio<sub>2</sub>）
other candidates	其他候选人
celebrations	活动
train length	列车长度
roller coasters	云霄飞车
founder of	创始
owners	持有者
discovery	发现
edition	届次
organization	组织机构
followed	followed
leader_title	leader_title
width across transepts	width across transepts
skill(s) required	所需技巧
generator	牵引发电机
gdp per capita	人均gdp
dances	舞蹈
organizer	组织方
minorplanet	minorplanet
u.s.c. sections amended	法典修订
sister newspapers	姊妹报纸
memberships	所属协会
founded by	创建者
most homeruns hit	全垒打王
first service	开行日期
max. depth	最大深度
team manager	球队经理
major axis	长轴
manuf1	manuf1
wins by ko	因击倒对手而得胜
editor_title	主编
notable awards	奖项
owner	拥有者
countries	countries
revenues	收入
career winnings	职业奖金
alias(es)	别名
formation	设立
air force	空军
established	创立日期
other links	其他连结
paid circulation	实际发行量
references	参考文献
operator	管理者
holiday	holiday
nicknames	俗称
number of members	议员人数
no	发言人
started by	起始
ph	ph
crew	摄像
variations	菜色变化
artist(s)	艺术家
mission insignia	任务徽章
iso2	iso2
events	比赛项目
uk	成立于
station code	车站代码
tv	tv
to	韧带终点
sp	sp
reach	reach
lang1	lang1
lang3	lang3
lang2	lang2
course	上菜顺序
parts_type	parts_type
issn	issn
next north	北站
leading companies	公司
president	president
no. of nations	参赛国家
offshore/onshore	离岸/陆上
novels	小说
docket nos.	诉讼记录号
volcano	火山
club	俱乐部
occupation	工作
officially closed by	赛会闭幕宣布者
intl	净利润
acts amended	法案修订
best young player	最佳年轻球员
sodium (na)	钠（na）
notable locations	知名地点
race victories	分站冠军
former name	former name
alternate name	其他名称
imprint	关系分社
television films	电视电影
traffic	通行类别
variant	关联产品
car no.	车号
population served	服务人群
accessible	无障碍设施
standard	标准
grades_label	年级
content license	内容许可
last appearance	最后出现
stat1label	stat1label
final table(s)	决赛桌
demonym	居民称谓
left tributaries	左侧支流
fabrication by	钢材生产商
coat	coat
pseudonym	化名
place of origin	起源国家
recorded	录制
pledge	徽章
structural engineer	施工结构
available in	语言
research type	研究性质
period	创作时期
cost	造价
ipv6	ipv6
nitrate (no<sub>3</sub>)	硝酸盐（no<sub>3</sub>）
former coach(es)	前教练
issue-link	子嗣
ground(s)	主场
starring	主演
bandwidth	带宽
high school	高中
studio	工作室
replaces	取代
replaced	继任
nearest_city	最近城市
lifts/elevators	电梯数
num_staff	雇员
date of death	逝世日期
risks	风险
laterality	惯用手
discipline titles	项目成绩
controlled churches	教派
officer in charge	主管官员
qs_w	qs_w
seats8_title	seats8_title
number of gas chambers	毒气室数量
sub grouping	亚分类
native name	原名
line number	地铁线编号
first season	首个球季
date opened	开幕日期
notable ideas	著名思想
subject	主题
tv adaptations	相关电视节目
design	图案
extinction	废止时间
designer(s)	设计者
greco-roman	希罗式
title	头衔
verdict	裁决
original source	最初来源
award6	award6
award5	award5
award8	award8
award7	award7
award2	award2
award1	award1
award4	award4
award3	award3
awards	荣誉
fighting out of	出道地点
no. of teams	队伍数
constellation	星座
aliases	化名
distance travelled	运行距离
watercourse	水系
nozzle ratio	喷嘴比
reign-type	全名
2008	2008年
2009	2009年
2006	2006年
engine	engine
acts repealed	法案废除
constructed by	施工单位
leader titles	leader titles
service hours	车站代码
riders per vehicle	每车乘坐人数
trademark	商标
related articles	相关条目
draws	平手
city	city
highest world ranking	最高世界排名
passengers	乘客
homepage	homepage
ambassador(s)	代理
dissipated	消散日期
senior editor(s)	总编辑
year founded	创刊日期
occur every	每隔
underlies	上覆
influences	受影响于
active personnel	现役人数
influenced	施影响于
composition method	法官选任方式
tyre suppliers	轮胎供应商
estate	地产
public transit	公共交通
roman equivalent	在罗马神话
former/other names	旧有/其他名称
powertype	缸径×冲程
fastest laps	最快圈速
northern end	北起讫站点
cyears2	cyears2
cyears1	cyears1
playing darts since	出道年份
cyears7	cyears7
cyears8	cyears8
cyears9	cyears9
water rides	水上设施
cyears3	cyears3
cyears4	cyears4
cyears5	cyears5
cyears6	cyears6
tournament format	tournament format
nrhp_type2	nrhp_type2
gdp by sector	各产业gdp
awards received	获奖
preceded	preceded
actual use	真正使用
network	转播商
record depth	record depth
orbits	绕轨圈数
head coach(es)	总教练
lbl35	lbl35
lbl32	lbl32
lbl31	lbl31
lbl33	lbl33
publication	publication
lbl22	lbl22
lbl23	lbl23
lbl21	lbl21
lbl24	lbl24
lbl25	lbl25
case number	案件编号
allowed characters in filenames	文件名字符集
current location	现居地
governance	政体
source	来源
ceremony venue	典礼场馆
passenger traffic	客运
races entered	完赛数
offspring	子嗣
cyears14	cyears14
cyears15	cyears15
cyears12	cyears12
cyears13	cyears13
cyears10	cyears10
cyears11	cyears11
cyears16	cyears16
cyears17	cyears17
most wins (driver)	最多胜（车手）
lead position ends	首长卸任时间
purpose	目的
current form	当前组编
hobbies	爱好
county	county
arwu_life	arwu_life
split from	分裂自
losses	败
annual ridership	年客流量
weight	weight
office location	总部地点
government	government
fair play award	公平竞争奖
entrances	洞口的数量
days	days
local authority	local authority
awards and prizes	获奖
mesh	mesh
alias	别名
region3	region3
region2	region2
region1	region1
strength	成员人数
region4	region4
region5	region5
region6	region6
region7	region7
region8	region8
region9	region9
closing ceremony	闭幕典礼
first flight	首飞
visitors	参观人数
release date	推出日期
entries	出赛次数
highest scoring	最多入球
no. of employees	雇员人数
as of	如
country leader title	{{{country leader title}}}
confed	confed
date completed	建成日期
lowest elevation	最低海拔
current champions	卫冕冠军
catchment area	集水面积
destinations	通航城市
film(s)	电影
promotion	升班至
audio format	格式
escutcheon	盾
newspaper	党报
most tries	达阵王
train number(s)	车次
first game	首个游戏
spin states	自旋态
body style	车型
renovation cost	翻新造价
data rate	数据速率
period advantages	周期
university	大学
storage	储存空间
riders	乘员
deck	deck
dean	院长
frequency	波段
memory	记忆体
color	颜色
chloride (cl<sup>−</sup>)	氯化物（cl<sup>−</sup>）
congregations	教堂
publisher	出版者
published	出版时间
completed	竣工日期
commands	统率
occupants	下辖单位
abandoned	废弃
liberated by	解放
page count	总页数
tournaments played	职业战绩
items collected	藏品
object	目的
os family	作业系统家族
closing date	关闭日期
bad blocks	坏块
display	显示
dry weight	净重
main	主要铁路
product(s)	产品
carries	承载
preview	预览
water depth	最大埋深
seasons	赛季
best ranking finish	best ranking finish
industry	industry
subscribers	订阅
translation	translation
head of government	政府首脑
mass	重量
offices held	官方职务
creator(s)	作者
average flow rate	平均流速
banquet/ballroom	宴会厅/舞厅
filmed by	摄像
issues	期号
product code	产品代号
convictions	定罪
money finish(es)	钱圈
in use	使用时间
state_type	州
commander1_label	现任指挥官
work begun	动工
number of stores	商店数量
number of drops	瀑布数
other names	其他名称
subsequent history	后续案件
number of vehicles	列车总数
writer(s)	故事
dialects	方言
arwu_w	arwu_w
endowment	捐赠基金
career points	生涯积分
free_label	free_label
characteristics	特色
compiler	编辑
colleges	学院
alexa	alexa
observation facilities	嘹望设施
last service	停止营运
disciplines	disciplines
condensed	简明对称性
earlier dedication	早期奉献
participation	参赛选手
concessions given	让步
date	日期
altitude	高度
current affiliation date	现况
main technologies or sub-processes	技术
dedicated	奉献日期
supporting character of	配角
service number	军籍号码
blank_name	blank_name
freestyle	自由式
seats7_title	seats7_title
writings	著作
designers	设计者
teams	参赛队伍
